OBJECTID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,scientific,code,shape_Leng,ORIG_FID,POINT_X,POINT_Y
1,179234.000000000000000,Tarsius tumpara,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature), , ,Siau, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius tumpara,CR,0.497440779797000,0,125.394938321846100,2.743851491653061
2,179234.000000000000000,Tarsius tumpara,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,Siau, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius tumpara,CR,0.497440779797000,1,125.394938321846100,2.743851491653061
3,181359.000000000000000,Sotalia guianensis,2,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Probably Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,23.164731801399999,2,-84.256356002327607,15.912505374123782
4,181359.000000000000000,Sotalia guianensis,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,383.930268841999980,3,-55.513926506902749,-0.043046338317822
5,181359.000000000000000,Sotalia guianensis,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,364.754381301000020,4,-53.140074836184681,-1.352937335889294
6,190871.000000000000000,Sotalia fluviatilis,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia fluviatilis,DD,290.957455379000010,5,-63.781222554177475,-4.664731787741744
7,195277.000000000000000,Tarsius wallacei,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,Sulawesi, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius wallacei,DD,5.291488367400000,6,120.061872868837900,0.222013229726826
8,198920.000000000000000,Neophocaena phocaenoides,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,Neophocaena phocaenoides,VU,831.261152375000050,7,91.368281560745515,14.256500620307406
9,199832.000000000000000,Philander olrogi,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Philander olrogi,DD,0.579140438925000,8,-63.912592379134935,-15.922005743670070
10,199834.000000000000000,Thylamys pulchellus,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys pulchellus,LC,24.153272652700000,9,-63.391635109772437,-27.249896142992554
